ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG-2174150-3326-Message
2023-07-30T07:48:20.3036704Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176601        14.4815         4.057539        33.3141        14.5863      1503.39        58.2554
2023-07-30T07:48:23.3030714Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176602        14.5146         4.057340        33.2838        14.5883      1503.36        58.2589
2023-07-30T07:48:26.3037357Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176603        14.5421         4.057239        33.2593        14.5893      1503.34        58.2608
2023-07-30T07:48:29.3037259Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176604        14.5653         4.057138        33.2385        14.5896      1503.31        58.261
2023-07-30T07:48:29.4142916Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 3
2023-07-30T07:48:32.3037258Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176605        14.5857         4.057138        33.2210        14.5933      1503.30        58.267
2023-07-30T07:48:32.4142609Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 9
2023-07-30T07:48:35.3047398Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176606        14.6026         4.057239        33.2075        14.5613      1503.19        58.210
2023-07-30T07:48:35.4142390Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 3
2023-07-30T07:48:38.3039855Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176607        14.6181         4.057339        33.1951        14.5817      1503.24        58.247
2023-07-30T07:48:38.4145289Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 1
2023-07-30T07:48:41.3049786Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176608        14.6307         4.057537        33.1862        14.5638      1503.17        58.214
2023-07-30T07:48:41.4145358Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 8
2023-07-30T07:48:44.3051583Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176609        14.6413         4.057735        33.1789        14.5556      1503.13        58.200
2023-07-30T07:48:44.4147109Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 0
2023-07-30T07:48:47.3051816Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176610        14.6505         4.058033        33.1738        14.5389      1503.07        58.170
2023-07-30T07:48:47.4147294Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 1
2023-07-30T07:48:50.3046596Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176611        14.6574         4.058332        33.1706        14.5277      1503.03        58.149
2023-07-30T07:48:50.4133865Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 9
2023-07-30T07:48:53.3103100Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176612        14.6631         4.058731        33.1694        14.5452      1503.09        58.1813
2023-07-30T07:48:56.2906592Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176613        14.6659         4.059127        33.1706        14.5591      1503.14        58.206
2023-07-30T07:48:56.4001760Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 3
2023-07-30T07:48:59.3107681Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176614        14.6666         4.059527        33.1737        14.5720      1503.18        58.2296
2023-07-30T07:49:02.2911803Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176615        14.6659         4.060024        33.1788        14.5696      1503.18        58.225
2023-07-30T07:49:02.4007016Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 4
2023-07-30T07:49:05.2917545Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176616        14.6624         4.060524        33.1863        14.5815      1503.23        58.2467
2023-07-30T07:49:08.2919934Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176617        14.6582         4.060920        33.1936        14.5936      1503.27        58.2685
2023-07-30T07:49:11.3012509Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176618        14.6518         4.061518        33.2045        14.5935      1503.29        58.2683
2023-07-30T07:49:14.2922952Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176619        14.6469         4.062015        33.2132        14.5943      1503.30        58.2698
2023-07-30T07:49:17.3022262Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176620        14.6420         4.062415        33.2210        14.6002      1503.33        58.2804
2023-07-30T07:49:20.2921207Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176621        14.6406         4.063013        33.2277        14.6045      1503.35        58.2882
2023-07-30T07:49:23.3027918Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176622        14.6413         4.063409        33.2307        14.6053      1503.35        58.2895
2023-07-30T07:49:26.2928251Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176623        14.6441         4.063906        33.2329        14.6040      1503.35        58.2872
2023-07-30T07:49:29.3032055Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176624        14.6476         4.064406        33.2344        14.6026      1503.35        58.2846
2023-07-30T07:49:32.2932355Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176625        14.6525         4.064802        33.2338        14.5964      1503.33        58.2736
2023-07-30T07:49:35.3033248Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176626        14.6582         4.065202        33.2326        14.5980      1503.33        58.2764
2023-07-30T07:49:38.2937786Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176627        14.6631         4.065699        33.2330        14.6045      1503.35        58.2881
2023-07-30T07:49:41.2939222Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176628        14.6680         4.066095        33.2324        14.6076      1503.36        58.2937
2023-07-30T07:49:44.2939167Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176629        14.6722         4.066495        33.2324        14.6088      1503.37        58.2958
2023-07-30T07:49:47.2945789Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176630        14.6764         4.066892        33.2324        14.6060      1503.36        58.2908
2023-07-30T07:49:50.2942942Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176631        14.6799         4.067291        33.2331        14.5900      1503.31        58.2620
2023-07-30T07:49:53.2943133Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176632        14.6821         4.067688        33.2349        14.5877      1503.30        58.2578
2023-07-30T07:49:56.2953362Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176633        14.6835         4.068189        33.2382        14.5913      1503.32        58.2644
2023-07-30T07:49:59.2952847Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176634        14.6841         4.068585        33.2413        14.5926      1503.33        58.2667
2023-07-30T07:50:02.2953647Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176635        14.6849         4.068985        33.2443        14.5924      1503.33        58.2664
2023-07-30T07:50:05.2953539Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176636        14.6863         4.069381        33.2467        14.5890      1503.32        58.260
2023-07-30T07:50:05.4058913Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 2
2023-07-30T07:50:08.2953834Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176637        14.6870         4.069781        33.2498        14.5860      1503.31        58.254
2023-07-30T07:50:08.4059181Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 9
2023-07-30T07:50:11.2963886Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176638        14.6870         4.070077        33.2525        14.5845      1503.31        58.252
2023-07-30T07:50:11.4059160Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 1
2023-07-30T07:50:14.2963853Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176639        14.6863         4.070477        33.2567        14.5860      1503.32        58.2548
2023-07-30T07:50:17.2965526Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176640        14.6849         4.070873        33.2615        14.5851      1503.33        58.253
2023-07-30T07:50:17.4061136Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 1
2023-07-30T07:50:20.2965419Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176641        14.6821         4.071274        33.2676        14.5846      1503.33        58.252
2023-07-30T07:50:20.4071140Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 3
2023-07-30T07:50:23.2967286Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176642        14.6807         4.071573        33.2715        14.5829      1503.33        58.249
