ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG-0289-Message
2023-09-10T00:02:17.5938203Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0180, c1= 0.05242, s=  0.2645, sv=1494.026, t2= 23.9034
2023-09-10T00:02:18.6233600Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0181, c1= 0.05242, s=  0.2645, sv=1494.027, t2= 23.9036
2023-09-10T00:02:19.6538809Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0180, c1= 0.05242, s=  0.2645, sv=1494.028, t2= 23.9040
2023-09-10T00:02:20.6834250Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0180, c1= 0.05242, s=  0.2645, sv=1494.028, t2= 23.9042
2023-09-10T00:02:21.7042302Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0182, c1= 0.05242, s=  0.2645, sv=1494.028, t2= 23.9041
2023-09-10T00:02:22.7339905Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0186, c1= 0.05242, s=  0.2645, sv=1494.032, t2= 23.9055
2023-09-10T00:02:23.7636931Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0190, c1= 0.05242, s=  0.2645, sv=1494.032, t2= 23.9054
2023-09-10T00:02:24.7842455Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0189, c1= 0.05243, s=  0.2645, sv=1494.033, t2= 23.9057
2023-09-10T00:02:25.8137834Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0189, c1= 0.05242, s=  0.2645, sv=1494.033, t2= 23.9060
2023-09-10T00:02:26.8443254Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0186, c1= 0.05242, s=  0.2645, sv=1494.035, t2= 23.9065
2023-09-10T00:02:27.8739027Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0191, c1= 0.05242, s=  0.2645, sv=1494.035, t2= 23.9065
2023-09-10T00:02:28.8944244Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0190, c1= 0.05242, s=  0.2645, sv=1494.037, t2= 23.9073
2023-09-10T00:02:29.9244925Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0200, c1= 0.05242, s=  0.2645, sv=1494.038, t2= 23.9077
2023-09-10T00:02:30.9540076Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0199, c1= 0.05243, s=  0.2645, sv=1494.040, t2= 23.9082
2023-09-10T00:02:31.9745781Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0198, c1= 0.05242, s=  0.2645, sv=1494.041, t2= 23.9086
2023-09-10T00:02:33.0041364Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0195, c1= 0.05242, s=  0.2645, sv=1494.041, t2= 23.9086
2023-09-10T00:02:34.0348446Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0204, c1= 0.05242, s=  0.2645, sv=1494.042, t2= 23.9092
2023-09-10T00:02:35.0643693Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0201, c1= 0.05242, s=  0.2645, sv=1494.043, t2= 23.9095
2023-09-10T00:02:36.0949095Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0204, c1= 0.05242, s=  0.2645, sv=1494.044, t2= 23.9099
2023-09-10T00:02:37.1244338Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0208, c1= 0.05242, s=  0.2645, sv=1494.046, t2= 23.9105
2023-09-10T00:02:38.1450052Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0205, c1= 0.05243, s=  0.2645, sv=1494.045, t2= 23.9102
2023-09-10T00:02:39.1745524Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0209, c1= 0.05242, s=  0.2645, sv=1494.047, t2= 23.9110
