ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG21-SBE38-Temp-F-Message
2023-08-27T19:38:50.0371220Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.15,12.3076
2023-08-27T19:38:51.0678070Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.19,12.3256
2023-08-27T19:38:52.1071477Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.21,12.3394
2023-08-27T19:38:53.1377128Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.45,12.4733
2023-08-27T19:38:54.1679443Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.62,12.5654
2023-08-27T19:38:55.2074108Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.68,12.6018
2023-08-27T19:38:56.2380499Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.65,12.5851
2023-08-27T19:38:57.2775594Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.64,12.5783
2023-08-27T19:38:58.3177665Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.73,12.6288
2023-08-27T19:38:59.3485201Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.77,12.6525
2023-08-27T19:39:00.3877865Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.78,12.6537
2023-08-27T19:39:01.4182010Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.69,12.6082
